City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Rocha,UY,2021-09-02 19:56:25,-34.4833,-54.3333,58.03,99,100,5.41
162,Muroto,JP,2021-09-02 19:56:25,33.2833,134.15,76.93,88,87,9.31
163,Prieska,ZA,2021-09-02 19:56:25,-29.6641,22.7474,59.77,13,0,5.95
164,Broken Hill,AU,2021-09-02 19:56:25,-31.95,141.4333,71.31,37,90,19.57
165,Aswan,EG,2021-09-02 19:56:26,24.0934,32.907,105.1,15,0,5.75
166,Zambezi,ZM,2021-09-02 19:56:26,-13.5432,23.1047,68.92,27,61,5.99
167,Lompoc,US,2021-09-02 19:56:27,34.6391,-120.4579,81.79,69,20,14.97
168,Pratapgarh,IN,2021-09-02 19:56:27,24.0333,74.7833,73.33,97,49,9.48
169,Ulaangom,MN,2021-09-02 19:56:27,49.9811,92.0667,55.54,70,100,4.47
170,Chama,CH,2021-09-02 19:56:27,47.1821,8.4636,67.6,82,7,0.0
