City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Sola,VU,79.05,few clouds,-13.8833,167.55,Leumerus Bungalows
592,Hambantota,LK,80.19,scattered clouds,6.1241,81.1185,Bungalow 63
595,West Odessa,US,87.28,clear sky,31.8424,-102.4988,Corporate Mobile Housing
597,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
599,Santa Barbara,US,85.33,clear sky,34.7333,-120.0343,Upper Ballard Campground
601,La Asuncion,VE,84.72,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
603,Fare,PF,77.18,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
610,Okmulgee,US,87.87,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
611,Dwarka,IN,81.12,moderate rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
612,Manavalakurichi,IN,77.09,overcast clouds,8.1333,77.3,Udaya Boys Hostel
615,Culaman,PH,79.03,overcast clouds,5.9603,125.6586,Jasmin Ex House
616,Puerto Escondido,MX,77.83,light intensity drizzle,15.85,-97.0667,Aldea del Bazar Hotel and Spa
617,Nijar,ES,82.04,clear sky,36.9665,-2.206,La Casa del Cine
619,Filadelfia,US,85.98,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
622,Bayeux,BR,84.83,broken clouds,-7.125,-34.9322,Infinity Motel
623,Road Town,VG,86.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
625,Broome,US,77.05,overcast clouds,42.2506,-75.833,Chenango Valley State Park
629,Ashqelon,IL,78.82,clear sky,31.6693,34.5715,Leonardo Ashkelon
630,Jalu,LY,89.28,clear sky,29.0331,21.5482,صاحبة الفخامة
632,Ewa Beach,US,79.02,broken clouds,21.3156,-158.0072,Uncle Junior Robert
634,Milagro,ES,86.67,broken clouds,42.2386,-1.764,Casa Miralrio
635,Itarema,BR,84.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
638,Bang Saphan,TH,78.8,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
649,Alyangula,AU,76.32,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
650,Sarakhs,IR,78.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
658,Praya,CV,86.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
659,Awjilah,LY,87.64,clear sky,29.1081,21.2869,
660,Waingapu,ID,78.31,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
661,Namatanai,PG,79.54,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
662,Sangueya,GN,79.25,overcast clouds,10.7,-14.3667,
665,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
666,Kumluca,TR,76.68,clear sky,36.3703,30.2869,TurkuazKöy
667,Luba,GQ,77.41,light rain,3.4568,8.5547,
672,Kinshasa,CD,82.51,broken clouds,-4.3246,15.3215,Flat Hotel Alhdeef
674,San Policarpo,PH,79.95,overcast clouds,12.1791,125.5072,Manong Aklan Resort
676,Bage,BR,80.38,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
681,Port Keats,AU,75.49,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
684,Nueva Loja,EC,76.48,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
685,Monroe,US,75.96,overcast clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
687,Salta,AR,88.57,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
689,Samarai,PG,78.55,scattered clouds,-10.6167,150.6667,Nuli Sapi
694,Gunjur,GM,82.47,thunderstorm,13.2019,-16.7339,Kuba Lodge
696,Ngawen,ID,75.94,broken clouds,-7.0032,111.3129,MURAI BATU BIRD FARM BASE'CAMP IBF
697,Qui Nhon,VN,79.99,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
708,Manzil Salim,TN,80.6,clear sky,35.8567,8.4765,mohamed ben khlil omri
711,Cortez,US,86.67,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
713,Jalingo,NG,77.47,moderate rain,8.8833,11.3667,Debright Motel
